Person,gFx,gFy,gFz,TgF,Label
1,0.1714,-0.0055,0.9866,1,6
1,0.1699,-0.007,0.9886,1,6
1,0.168,-0.0035,0.9935,1.01,6
1,0.1715,-0.0026,0.9847,1,6
1,0.1759,-0.0031,0.9764,0.99,6
1,0.1783,-0.0066,0.9721,0.99,6
1,0.1822,-0.0066,0.9706,0.99,6
1,0.1788,-0.0066,0.9721,0.99,6
1,0.1744,-0.0051,0.9799,1,6
1,0.17,-0.007,0.9788,0.99,6
1,0.169,-0.0046,0.9774,0.99,6
1,0.172,-0.0021,0.9764,0.99,6
1,0.1802,-0.0055,0.9931,1.01,6
1,0.1851,-0.0104,0.9863,1,6
1,0.1831,-0.0104,0.9829,1,6
2,0.0719,-0.0012,0.9945,1,6
2,0.0724,-0.0016,0.995,1,6
2,0.07,-0.0012,0.9935,1,6
2,0.0675,0.0009,1.0003,1,6
2,0.07,0.0048,1.0008,1,6
2,0.0773,0.0002,0.9907,0.99,6
2,0.0739,-0.0017,0.9833,0.99,6
2,0.0738,0.0032,0.9999,1,6
2,0.0792,-0.0007,0.9955,1,6
2,0.0836,0.0037,0.9926,1,6
2,0.0817,0.0061,0.9946,1,6
2,0.0665,0.0023,0.9984,1,6
2,0.0607,-0.0012,0.9949,1,6
2,0.0568,-0.0036,0.9861,0.99,6
2,0.0548,-0.0041,0.9856,0.99,6
2,0.0568,0.0013,0.9929,0.99,6
2,0.0607,0.0062,0.9982,1,6
2,0.068,0.0082,1.0002,1,6
2,0.0714,0.0077,1.0003,1,6
2,0.0734,0.0032,0.9994,1,6
2,0.066,-0.0012,0.9944,1,6
2,0.068,-0.0031,0.994,1,6
2,0.0655,-0.0041,0.9954,1,6
2,0.0616,-0.004,0.9988,1,6
2,0.0606,-0.004,1.0002,1,6
2,0.0538,-0.0015,1.0036,1.01,6
2,0.0557,-0.0016,1.0012,1,6
2,0.0596,-0.0016,0.9998,1,6
2,0.0596,0.0023,1.0032,1,6
2,0.0591,0.0009,1.0042,1.01,6
2,0.065,0.0018,1.0008,1,6
2,0.0679,0.0009,0.9998,1,6
2,0.0646,0.0009,0.9978,1,6
2,0.0646,0.0009,0.9978,1,6
2,0.0646,0.0032,0.9963,1,6
2,0.0641,0.0032,0.9939,1,6
2,0.066,0.0023,0.993,1,6
2,0.066,0.0023,0.9954,1,6
2,0.0665,0.0018,0.9979,1,6
2,0.0675,0.0013,0.9984,1,6
2,0.0675,0.0013,0.9993,1,6
2,0.0699,0.0003,0.9984,1,6
2,0.0704,-0.0002,0.9955,1,6
2,0.0719,0.0008,0.9969,1,6
2,0.0709,0.0013,0.9954,1,6
2,0.0709,-0.0002,0.9945,1,6
2,0.0753,0.0008,0.995,1,6
2,0.0758,-0.0002,0.995,1,6
2,0.0758,-0.0012,0.996,1,6
2,0.0723,0.0013,1.0009,1,6
2,0.0718,0.0032,0.9998,1,6
2,0.0734,-0.0027,0.9857,0.99,6
2,0.0719,0.0003,0.9945,1,6
2,0.0738,0.0004,1.0023,1.01,6
2,0.0831,-0.0012,1,1,6
2,0.0895,0.0046,0.9971,1,6
2,0.0841,0.0076,0.9985,1,6
2,0.0719,0.0007,0.9896,0.99,6
2,0.0724,-0.0002,0.9862,0.99,6
2,0.0709,-0.0022,0.9823,0.98,6
2,0.0704,0.0002,0.9857,0.99,6
2,0.0719,0.0062,0.9925,1,6
2,0.0802,0.0066,0.995,1,6
2,0.0851,0.0051,0.9931,1,6
2,0.0841,0.0012,0.9907,0.99,6
2,0.0792,-0.0017,0.9931,1,6
2,0.0773,-0.0032,0.9868,0.99,6
2,0.0807,-0.0032,0.9926,1,6
2,0.0806,-0.0037,0.9951,1,6
2,0.0777,-0.0026,1.0009,1,6
2,0.0733,-0.0002,1.0004,1,6
2,0.0723,0.0023,0.9989,1,6
2,0.0719,0.0013,0.9945,1,6
2,0.0714,0.0008,0.9955,1,6
2,0.0729,0.0027,0.9969,1,6
2,0.0748,0.0032,0.996,1,6
2,0.0767,-0.0007,0.9975,1,6
2,0.0783,-0.0007,0.996,1,6
2,0.0778,0.0013,0.9951,1,6
2,0.0763,0.0027,0.9945,1,6
2,0.0758,0.0037,0.9935,1,6
2,0.0739,0.0018,0.9926,1,6
2,0.0724,0.0027,0.9935,1,6
2,0.0724,0.0018,0.9916,0.99,6
2,0.07,0.0013,0.9949,1,6
2,0.069,0.0003,0.9964,1,6
2,0.0684,0.0008,0.9979,1,6
2,0.0719,0.0013,0.9945,1,6
2,0.0709,-0.0012,0.995,1,6
2,0.0723,-0.0016,0.9974,1,6
2,0.0684,0.0004,0.9998,1,6
2,0.0699,-0.0012,0.9984,1,6
2,0.0675,-0.0051,0.9901,0.99,6
2,0.0665,-0.0031,0.992,0.99,6
2,0.0631,0.0004,1.0002,1,6
2,0.0733,-0.0012,0.9984,1,6
2,0.0763,0.0042,0.996,1,6
2,0.0695,0.0047,0.9984,1,6
2,0.0655,0.0033,1.0012,1,6
2,0.0617,-0.0011,0.9973,1,6
2,0.0582,-0.0031,0.9875,0.99,6
2,0.0582,-0.0012,0.988,0.99,6
2,0.0597,0.0013,0.9934,1,6
2,0.0617,0.0023,0.9993,1,6
2,0.0694,0.0038,1.0062,1.01,6
2,0.0709,0.0033,1.0062,1.01,6
2,0.0694,0.0004,1.0042,1.01,6
2,0.068,-0.0012,0.9949,1,6
2,0.0685,-0.0021,0.9954,1,6
2,0.0655,-0.0036,0.9959,1,6
2,0.066,-0.0036,0.9974,1,6
2,0.0651,-0.0007,0.9969,1,6
2,0.068,0.0013,0.9969,1,6
2,0.0685,-0.0012,0.9949,1,6
2,0.0695,-0.0007,0.9926,0.99,6
2,0.067,0.0003,0.9925,0.99,6
2,0.0685,0.0023,0.9964,1,6
2,0.0733,-0.0016,0.9955,1,6
2,0.0724,0.0003,0.9955,1,6
2,0.0748,0.0008,0.9945,1,6
2,0.0739,0.0037,0.9979,1,6
2,0.0739,0.0027,0.9979,1,6
2,0.0738,0.0018,0.9979,1,6
2,0.0743,0.0003,0.996,1,6
2,0.0734,0.0008,0.993,1,6
2,0.0753,-0.0002,0.9955,1,6
2,0.0748,-0.0012,0.9979,1,6
2,0.0753,0.0008,0.9969,1,6
2,0.0768,0.0023,0.9945,1,6
2,0.0783,0.0007,0.9941,1,6
2,0.0783,0.0003,0.996,1,6
2,0.0768,0.0027,0.9926,1,6
2,0.0812,0.0012,0.9921,1,6
2,0.0812,-0.0007,0.9902,0.99,6
2,0.0787,-0.0012,0.9931,1,6
